idu,commune,status,tier_v2,rang_v2,etage0,n_zones_raw,n_zones_dedup,total_cov_raw_pct,total_cov_dedup_pct,an_cov_raw_pct,an_cov_dedup_pct,uau_cov_raw_pct,uau_cov_dedup_pct,zone_majoritaire_raw,zone_majoritaire_dedup,verdict_raw,verdict_dedup,hard_exclude_infonde,zone_majoritaire_change,verdict_change
97408000AM0797,La Possession,ecartee,ecartee,66355,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0798,La Possession,ecartee,ecartee,10664,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0800,La Possession,ecartee,ecartee,26914,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0801,La Possession,ecartee,a_creuser,82356,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0802,La Possession,ecartee,ecartee,26117,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0803,La Possession,ecartee,ecartee,9050,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0804,La Possession,ecartee,ecartee,48018,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0805,La Possession,ecartee,ecartee,53320,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0806,La Possession,ecartee,ecartee,65765,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0807,La Possession,ecartee,ecartee,59812,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0811,La Possession,ecartee,ecartee,28947,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0812,La Possession,ecartee,ecartee,15845,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0814,La Possession,ecartee,ecartee,28286,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0815,La Possession,ecartee,ecartee,70696,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0819,La Possession,ecartee,a_creuser,16274,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0820,La Possession,ecartee,a_creuser,,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0821,La Possession,ecartee,ecartee,58660,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0822,La Possession,ecartee,a_creuser,13767,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0827,La Possession,ecartee,a_creuser,22093,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0828,La Possession,ecartee,ecartee,94717,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0833,La Possession,ecartee,a_creuser,9777,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0834,La Possession,ecartee,a_creuser,99342,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0835,La Possession,a_creuser,a_creuser,9426,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0837,La Possession,ecartee,a_creuser,23193,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0838,La Possession,ecartee,ecartee,31612,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0839,La Possession,ecartee,ecartee,44655,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0840,La Possession,ecartee,ecartee,16840,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0841,La Possession,ecartee,ecartee,10935,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0842,La Possession,ecartee,ecartee,49161,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0843,La Possession,ecartee,ecartee,54867,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0844,La Possession,ecartee,ecartee,34917,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0845,La Possession,ecartee,ecartee,44612,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0847,La Possession,ecartee,a_creuser,221213,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0848,La Possession,ecartee,a_creuser,96846,0,4,2,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0853,La Possession,ecartee,ecartee,103820,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0854,La Possession,ecartee,a_creuser,23025,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0858,La Possession,ecartee,a_creuser,58556,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0859,La Possession,ecartee,ecartee,48060,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0860,La Possession,ecartee,ecartee,20887,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0861,La Possession,ecartee,a_creuser,26587,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0862,La Possession,ecartee,a_creuser,14686,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0863,La Possession,ecartee,a_creuser,10699,0,3,2,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0864,La Possession,ecartee,ecartee,36906,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0865,La Possession,ecartee,ecartee,18110,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0866,La Possession,ecartee,ecartee,9412,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0867,La Possession,ecartee,chaude,2132,0,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0868,La Possession,ecartee,ecartee,58249,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
97408000AM0869,La Possession,ecartee,ecartee,73764,1,2,1,200.0,100.0,0.0,0.0,100.0,100.0,U,U,POSITIVE,POSITIVE,f,f,f
