idu,commune,statut_avant,statut_apres,etage0_avant,etage0_apres,tier_avant,tier_apres,rang_avant,rang_apres,motifs_he_v5
97415000BK0089,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,30169,30162,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BK0115,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,19848,19849,bati:HARD_EXCLUDE | emprise_lineaire:HARD_EXCLUDE | surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000BW1624,Saint-Paul,faux_positif_probable,a_creuser,1,0,ecartee,ecartee,162135,162126,
97415000CT0368,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,20498,20498,bati:HARD_EXCLUDE | surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0369,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,36243,36235,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0370,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,126417,126421,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0373,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,80242,80237,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0374,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,42330,42326,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0441,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,93349,93357,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0442,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,28630,28624,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0443,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,34362,34353,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0444,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,155076,155069,zonage_plu_gpu:HARD_EXCLUDE
97415000CT0445,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,46655,46651,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0446,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,52584,52584,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0481,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,139177,139167,zonage_plu_gpu:HARD_EXCLUDE
97415000CT0610,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,45969,45965,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0611,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,71868,71853,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0709,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,39546,39540,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0728,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,53521,53519,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0887,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,67452,67442,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0907,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,103639,103648,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT0909,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,82611,82611,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT1088,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,53409,53407,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT1090,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,223976,223971,zonage_plu_gpu:HARD_EXCLUDE
97415000CT1091,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,180963,180953,zonage_plu_gpu:HARD_EXCLUDE
97415000CT1240,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,36091,36082,bati:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT1243,Saint-Paul,a_creuser,exclue,0,1,a_creuser,a_creuser,91398,91407,zonage_plu_gpu:HARD_EXCLUDE
97415000CT1331,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,135345,135339,emprise_lineaire:HARD_EXCLUDE | surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
97415000CT1334,Saint-Paul,opportunite,exclue,0,1,a_creuser,a_creuser,145772,145760,zonage_plu_gpu:HARD_EXCLUDE
97415000CT1583,Saint-Paul,faux_positif_probable,exclue,1,1,ecartee,ecartee,8028,8031,surface:HARD_EXCLUDE | zonage_plu_gpu:HARD_EXCLUDE
