idu,p_arene,p_raw,ponderee_au,ecart
97424000AO0848,0.00805142928473349,0.008051,False,4.292847334899652e-07
97403000AS1582,0.041367351994054995,0.041367,False,3.519940549936984e-07
97422000BH2045,0.01320901320901321,0.013209,False,1.3209013209614096e-08
97410000BD0864,0.031053604436229204,0.031054,False,3.955637707941939e-07
97414000EK0582,0.013754472403073493,0.013754,False,4.72403073492611e-07
97420000AW0040,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97411000HN0351,0.008840227088402269,0.00884,False,2.270884022683578e-07
97416000ID0786,0.010575332927147707,0.010575,False,3.329271477080231e-07
97416000IH0052,0.016022841787033924,0.016023,False,1.5821296607543278e-07
97408000BI0157,0.019702323589249383,0.019702,False,3.23589249381917e-07
97407000AO1762,0.020465278992478575,0.020465,False,2.78992478574408e-07
97415000AY1467,0.028814669286182062,0.028815,False,3.3071381793856047e-07
97409000AY0816,0.010575332927147707,0.010575,False,3.329271477080231e-07
97407000AH0555,0.011601693517347555,0.011602,False,3.064826524443176e-07
97416000EV1462,0.018904958677685952,0.018905,False,4.132231404968545e-08
97412000BW0340,0.018904958677685952,0.018905,False,4.132231404968545e-08
97418000BE0059,0.00805142928473349,0.008051,False,4.292847334899652e-07
97411000IK0126,0.011601693517347555,0.011602,False,3.064826524443176e-07
97416000DS0897,0.041367351994054995,0.041367,False,3.519940549936984e-07
97414000DM0254,0.013754472403073493,0.013754,False,4.72403073492611e-07
97415000EW1843,0.041367351994054995,0.041367,False,3.519940549936984e-07
97422000BV1878,0.018904958677685952,0.018905,False,4.132231404968545e-08
97410000AV0636,0.020465278992478575,0.020465,False,2.78992478574408e-07
97401000AI1044,0.00907911802853437,0.009079,False,1.1802853436965188e-07
97415000CW0611,0.020465278992478575,0.020465,False,2.78992478574408e-07
97424000AH0982,0.012004865408006769,0.012005,False,1.3459199323107018e-07
97415000AW1556,0.009585067473830243,0.009585,False,6.747383024356679e-08
97418000BH0163,0.00805142928473349,0.008051,False,4.292847334899652e-07
97416000EN0108,0.007278472085084773,0.007278,False,4.720850847730537e-07
97415000BV1277,0.009585067473830243,0.009585,False,6.747383024356679e-08
97411000HE0571,0.020465278992478575,0.020465,False,2.78992478574408e-07
97413000DD0649,0.008840227088402269,0.008291,True,0.0005492270884022692
97420000AI0144,0.011601693517347555,0.011602,False,3.064826524443176e-07
97415000DN0070,0.008840227088402269,0.00884,False,2.270884022683578e-07
97416000CW0477,0.010575332927147707,0.010575,False,3.329271477080231e-07
97415000DM1163,0.016883261135177165,0.016883,False,2.6113517716599977e-07
97415000DO0031,0.010160427807486633,0.01016,False,4.2780748663213963e-07
97416000CV1456,0.007278472085084773,0.007278,False,4.720850847730537e-07
97422000DO0724,0.006572420634920635,0.006572,False,4.2063492063527247e-07
97412000BE0364,0.006731287022078621,0.006731,False,2.870220786209063e-07
97418000AR1697,0.013754472403073493,0.013754,False,4.72403073492611e-07
97419000AP0390,0.016022841787033924,0.016023,False,1.5821296607543278e-07
