parcelle_id,commune,p_mutation_fonciere_12m,contrib_z,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97415000EO0571,97415,0.091398,0.266,1.2086,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.008753, 0.01151]]: +0.214",surface_m2*permis_bin: +0.125,zone_plu [U]: +0.077
97415000EL0494,97415,0.091398,-0.082,1.7087,permis_bin [<2a]: +1.295,canopee_pct [≤ 0.4]: +0.239,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125
97415000DT1221,97415,0.091398,0.057,1.6168,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,surface_m2*permis_bin: +0.125,"canopee_pct [(0.4, 1.9]]: +0.123"
97415000DR1382,97415,0.091398,0.1224,1.6798,permis_bin [<2a]: +1.295,piscine [true]: +0.412,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"canopee_pct [(18, 27.5]]: -0.168"
97415000DK1029,97415,0.091398,0.7946,1.2882,piscine [true]: +0.412,zone_plu [AU]: +0.388,tenure_bin [3+]: +0.319,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239
97415000DR0538,97415,0.091398,0.0487,1.1769,tenure_bin [<1]: +0.892,tenure_bin*surface_m2: +0.415,nu_constructible [true]: +0.195,"canopee_pct [(0.4, 1.9]]: +0.123",tenure_bin*rot_nu: +0.093
97415000DN0357,97415,0.091398,0.2932,1.2859,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.086,zone_plu [U]: +0.077
97415000DK1162,97415,0.091398,0.9919,1.048,tenure_bin [1-2]: +0.514,zone_plu [AU]: +0.388,rot_nu [> 0.01151]: +0.312,canopee_pct [≤ 0.4]: +0.239,pct_bati_secteur [≤ 0.3421]: +0.213
97401000AI1209,97401,0.091398,0.0849,1.5347,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: +0.221,nu_constructible [true]: +0.195,"rot_nu [(0.006453, 0.008753]]: +0.132",surface_m2*permis_bin: +0.125
97415000DK1152,97415,0.091398,0.7946,2.1342,permis_bin [<2a]: +1.295,tenure_bin*permis_bin: -1.000,zone_plu [AU]: +0.388,tenure_bin [2-3]: +0.336,rot_nu [> 0.01151]: +0.312
