parcelle_id,commune,p_mutation_12m,contrib_z,contrib_d,contribution_1,contribution_2,contribution_3,contribution_4,contribution_5
97415000EV0712,97415,0.685185,0.5289,1.3025,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.599,piscine [true]: +0.414
97411000HC0308,97411,0.685185,0.5878,0.7377,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97416000DX0116,97416,0.685185,0.292,1.9875,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,permis_bin [<2a]: +0.697,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331
97416000DW0067,97416,0.685185,0.3854,0.7956,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97416000DW0050,97416,0.685185,0.3854,1.1824,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331,canopee_pct [≤ 0.4]: +0.244
97411000HT0054,97411,0.685185,0.3244,0.7661,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97415000HM0141,97415,0.685185,0.4942,0.9702,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,rot_bati [> 0.04573]: +0.331,tenure_bin*filo_pct_prop: +0.300
97411000HK0004,97411,0.685185,0.2513,1.0613,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AD0260,97411,0.685185,0.3671,0.7737,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AS0474,97411,0.685185,0.2833,1.0613,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HC0296,97411,0.685185,0.4158,0.7422,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97416000DW0039,97416,0.685185,0.3416,0.8215,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AD0010,97411,0.685185,0.4346,0.7938,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HH0277,97411,0.685185,0.3717,1.2629,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,permis_bin [<2a]: +0.697
97422000BL0322,97422,0.685185,-0.238,1.2021,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,permis_bin [<2a]: +0.697,zone_plu [A]: -0.219,surface_m2 [> 1.204e+04]: -0.167
97411000AT0367,97411,0.685185,0.2139,0.9807,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97408000BM0078,97408,0.685185,0.3071,0.8438,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AD0218,97411,0.685185,0.4526,0.7746,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HM0210,97411,0.685185,0.4311,0.8707,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AL0009,97411,0.685185,0.5229,0.8467,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97415000HK0080,97415,0.666667,0.3923,0.6959,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000DN0070,97411,0.666667,0.1847,1.0613,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HT0058,97411,0.666667,0.3161,0.7661,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AH0169,97411,0.651163,0.2489,0.7584,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000BP0869,97411,0.651163,0.6854,1.1437,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331
97415000HM0045,97415,0.651163,0.5078,0.6943,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000EO0109,97411,0.651163,0.3098,0.7422,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97408000AP1021,97408,0.651163,0.6041,1.0598,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*rot_bati: +0.667,rot_nu [> 0.01331]: +0.215
97418000BM0274,97418,0.651163,0.2148,0.7483,tenure_bin*rot_bati: +1.440,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,rot_bati [> 0.04573]: +0.331
97418000AS1204,97418,0.651163,0.4821,1.6466,tenure_bin*surface_m2: +0.981,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,permis_bin [<2a]: +0.697,tenure_bin*rot_bati: +0.667
97415000DH0301,97415,0.651163,0.4667,1.1967,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,piscine [true]: +0.414,rot_bati [> 0.04573]: +0.331
97411000HH0372,97411,0.651163,0.4093,0.788,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97408000BL0046,97408,0.651163,0.3761,0.6512,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000CM0558,97411,0.651163,0.0894,0.7254,tenure_bin*surface_m2: +3.440,tenure_bin [<1]: +0.950,nu_constructible [true]: +0.458,canopee_pct [> 61.2]: -0.453,tenure_bin*ndvi_moyen: -0.276
97416000DW0119,97416,0.651163,0.5306,0.4726,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000HB0288,97411,0.651163,0.3588,0.8467,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
97411000AY0393,97411,0.651163,0.1982,0.7842,tenure_bin*rot_bati: +1.440,tenure_bin [<1]: +0.950,tenure_bin*filo_pct_prop: +0.764,tenure_bin*surface_m2: +0.713,rot_bati [> 0.04573]: +0.331
