feature,bin,effectif,taux_evenement,woe,coef,log_hazard
pct_bati_secteur,"(0.5422, 0.7168]",1056741,0.017324017900318053,0.0010797702775664352,-0.22005394905345838,-0.00023760771364904294
pct_bati_secteur,"(0.7168, 0.7616]",453306,0.020268869152404778,0.16109981135198673,-0.22005394905345838,-0.035450649679771844
pct_bati_secteur,"(0.7616, 0.774]",147525,0.017793594306049824,0.028462582032925333,-0.22005394905345838,-0.006263303576603231
pct_bati_secteur,"(0.774, 0.7841]",151613,0.019622327900641764,0.1281334364978493,-0.22005394905345838,-0.028196268707142275
pct_bati_secteur,"(0.7841, 0.7957]",151025,0.021526237377917562,0.2226674930580631,-0.22005394905345838,-0.048998861173260314
pct_bati_secteur,"(0.7957, 0.8174]",151018,0.018878544279489862,0.08874030896091645,-0.22005394905345838,-0.019527655427073663
pct_bati_secteur,> 0.8174,457835,0.017233282732862277,-0.00422843219920501,-0.22005394905345838,0.0009304832037398622
filo_snv_pp,≤ 1.43e+04,134666,0.013997594047495284,-0.2734833284666945,0.25154000825364703,-0.0687919986997472
filo_snv_pp,"(1.43e+04, 1.821e+04]",809403,0.015119785817448168,-0.19544703645342668,0.25154000825364703,-0.0491627491626458
filo_snv_pp,"(1.821e+04, 1.933e+04]",269682,0.01644158675773689,-0.11022369867502446,0.25154000825364703,-0.027725670074463155
filo_snv_pp,"(1.933e+04, 2.264e+04]",674366,0.017487536441635552,-0.047554408934751866,0.25154000825364703,-0.01196183641594479
filo_snv_pp,"(2.264e+04, 2.369e+04]",134904,0.018590998043052837,0.014912310760287442,0.25154000825364703,0.0037510427717236524
filo_snv_pp,"(2.369e+04, 2.499e+04]",135051,0.020940237391800134,0.13628141713916164,0.25154000825364703,0.03428022879200343
filo_snv_pp,"(2.499e+04, 2.66e+04]",134820,0.022088710873757602,0.19084034365288177,0.25154000825364703,0.048003981617574715
filo_snv_pp,"(2.66e+04, 2.875e+04]",134785,0.023726675817041954,0.2640384742569074,0.25154000825364703,0.06641623999386286
filo_snv_pp,"(2.875e+04, 3.206e+04]",135093,0.026070928915635894,0.36064908862898243,0.25154000825364703,0.09071767473040451
filo_snv_pp,> 3.206e+04,134883,0.029981539556504525,0.5044151062006111,0.25154000825364703,0.12688057997696597
filo_snv_pp,manquant/inconnu,323988,0.008827487437806338,-0.6815312440075777,0.25154000825364703,-0.17143237474278442
filo_pct_pauv,≤ 0.07692,131173,0.03128692642540767,0.5483783058628426,0.2409834898917779,0.13215011792776862
filo_pct_pauv,"(0.07692, 0.1311]",138579,0.025869720520425174,0.35269245139902566,0.2409834898917779,0.08499305779662347
