idu,avant,apres,r_avant,r_apres,d_avant,d_apres,nature
97419000AR0311,a_creuser,chaude,5102,5103,0.9243,0.9243,heritage_de_place
97420000AO0600,a_creuser,chaude,5202,5117,0.9168,0.9168,heritage_de_place
97408000AM1330,a_creuser,chaude,6752,5128,0.9119,0.9119,heritage_de_place
97413000CI0700,a_creuser,chaude,4479,5138,0.9087,0.9087,heritage_de_place
97410000AD0786,a_creuser,chaude,6305,5153,0.9038,0.9038,heritage_de_place
97420000BE0176,a_creuser,chaude,5115,5154,0.9038,0.9038,heritage_de_place
97411000EY0177,a_creuser,chaude,6265,5161,0.9000,0.9000,heritage_de_place
97404000AT0402,a_creuser,chaude,5339,5170,0.8982,0.8982,heritage_de_place
97416000CY0239,a_creuser,chaude,6336,5185,0.8930,0.8930,heritage_de_place
97415000CM0649,a_creuser,chaude,6279,5203,0.8837,0.8837,heritage_de_place
97416000HZ0845,a_creuser,chaude,5178,5205,0.8824,0.8824,heritage_de_place
97416000EX1878,a_creuser,chaude,6251,5207,0.8818,0.8818,heritage_de_place
97422000CX0135,a_creuser,chaude,4292,5220,0.8773,0.8773,heritage_de_place
97405000AV0212,a_creuser,chaude,5153,5223,0.8763,0.8763,heritage_de_place
97412000AM1378,a_creuser,chaude,5803,5229,0.8748,0.8748,heritage_de_place
97420000BE0246,a_creuser,chaude,4991,5242,0.8718,0.8718,heritage_de_place
97415000BW1914,a_creuser,chaude,5587,5245,0.8695,0.8695,heritage_de_place
97415000CT2302,a_creuser,chaude,6760,5252,0.8686,0.8686,heritage_de_place
97411000AS0185,a_creuser,chaude,4677,5253,0.8685,0.8685,heritage_de_place
97416000DS0730,a_creuser,chaude,4276,5254,0.8685,0.8685,heritage_de_place
97420000BC1875,a_creuser,chaude,4606,5259,0.8670,0.8670,heritage_de_place
97415000AY1299,a_creuser,chaude,6219,5265,0.8647,0.8647,heritage_de_place
97411000BZ1564,a_creuser,chaude,4735,5268,0.8639,0.8639,heritage_de_place
97423000AK1200,a_creuser,chaude,6763,5272,0.8624,0.8624,heritage_de_place
97414000DT0982,a_creuser,chaude,6147,5278,0.8602,0.8602,heritage_de_place
97411000EP0228,a_creuser,chaude,6111,5285,0.8563,0.8563,heritage_de_place
97415000DE1329,a_creuser,chaude,4794,5286,0.8559,0.8559,heritage_de_place
97416000EX0752,a_creuser,chaude,6928,5292,0.8545,0.8545,heritage_de_place
97415000BV1644,a_creuser,chaude,4976,5297,0.8528,0.8528,heritage_de_place
97415000AY1476,a_creuser,chaude,5272,5302,0.8500,0.8500,heritage_de_place
97411000IZ0407,a_creuser,chaude,4444,5308,0.8488,0.8488,heritage_de_place
97411000IW0117,a_creuser,chaude,6692,5309,0.8486,0.8486,heritage_de_place
97415000AX0982,a_creuser,chaude,6445,5310,0.8484,0.8484,heritage_de_place
97408000AN0882,a_creuser,chaude,4986,5313,0.8476,0.8476,heritage_de_place
97410000BE0309,a_creuser,chaude,6570,5326,0.8434,0.8434,heritage_de_place
97417000AN0350,a_creuser,chaude,6657,5327,0.8426,0.8426,heritage_de_place
97416000EK0567,a_creuser,chaude,4843,5329,0.8425,0.8425,heritage_de_place
97412000CE2272,a_creuser,chaude,6093,5335,0.8404,0.8404,heritage_de_place
97413000AV0124,a_creuser,chaude,5429,5340,0.8391,0.8391,heritage_de_place
97413000AV1814,a_creuser,chaude,4310,5341,0.8391,0.8391,heritage_de_place
97405000BE1626,a_creuser,chaude,6090,5342,0.8391,0.8391,heritage_de_place
97422000BO1702,a_creuser,chaude,5851,5349,0.8339,0.8339,heritage_de_place
97406000AT0839,a_creuser,chaude,4335,5350,0.8328,0.8328,heritage_de_place
97409000BD0264,a_creuser,chaude,6193,5353,0.8321,0.8321,heritage_de_place
97412000CX0321,a_creuser,chaude,5965,5355,0.8316,0.8316,heritage_de_place
97412000CE2670,a_creuser,chaude,6873,5357,0.8294,0.8294,heritage_de_place
97413000DC1662,a_creuser,chaude,5884,5360,0.8279,0.8279,heritage_de_place
97414000DT0983,a_creuser,chaude,6686,5363,0.8272,0.8272,heritage_de_place
97413000DE1038,a_creuser,chaude,6075,5375,0.8205,0.8205,heritage_de_place
97405000BE1624,a_creuser,chaude,6855,5387,0.8101,0.8101,heritage_de_place
97411000AW0609,a_creuser,chaude,5588,5396,0.8092,0.8092,heritage_de_place
97404000AT0561,a_creuser,chaude,5517,5397,0.8092,0.8092,heritage_de_place
97411000EW0120,a_creuser,chaude,5142,5402,0.8082,0.8082,heritage_de_place
97408000AB0306,a_creuser,chaude,4388,5414,0.8031,0.8031,heritage_de_place
97415000CH1634,a_creuser,chaude,4390,5417,0.8012,0.8012,heritage_de_place
97409000AV0900,a_creuser,chaude,5712,5427,0.7960,0.7960,heritage_de_place
97415000CT2259,a_creuser,chaude,6003,5440,0.7906,0.7906,heritage_de_place
97408000AC3429,a_creuser,chaude,5612,5441,0.7906,0.7906,heritage_de_place
97410000CD0922,a_creuser,chaude,6783,5442,0.7906,0.7906,heritage_de_place
97406000AE0663,a_creuser,chaude,6276,5446,0.7866,0.7866,heritage_de_place
97413000DJ0334,a_creuser,chaude,4723,5447,0.7866,0.7866,heritage_de_place
97410000CD0947,a_creuser,chaude,6035,5452,0.7854,0.7854,heritage_de_place
97415000HI0535,a_creuser,chaude,6621,5456,0.7843,0.7843,heritage_de_place
97413000CX1966,a_creuser,chaude,6729,5465,0.7799,0.7799,heritage_de_place
97411000IB0371,a_creuser,chaude,5646,5466,0.7781,0.7781,heritage_de_place
97406000AV0841,a_creuser,chaude,5463,5479,0.7735,0.7735,heritage_de_place
97418000AW0832,a_creuser,chaude,4668,5505,0.7637,0.7637,heritage_de_place
97416000EP0939,a_creuser,chaude,4882,5511,0.7631,0.7631,heritage_de_place
97415000CK0830,a_creuser,chaude,4629,5515,0.7603,0.7603,heritage_de_place
97415000CO0361,a_creuser,chaude,4238,5523,0.7577,0.7577,heritage_de_place
97418000BM0501,a_creuser,chaude,5524,5524,0.7570,0.7570,heritage_de_place
97408000AC3660,a_creuser,chaude,5636,5529,0.7542,0.7542,heritage_de_place
97412000CS0752,a_creuser,chaude,5889,5537,0.7525,0.7525,heritage_de_place
97415000DN0073,a_creuser,chaude,6605,5542,0.7506,0.7506,heritage_de_place
97412000BW0737,a_creuser,chaude,5195,5559,0.7456,0.7456,heritage_de_place
97409000AY1304,a_creuser,chaude,6955,5581,0.7387,0.7387,heritage_de_place
97422000CX1176,a_creuser,chaude,6592,5618,0.7296,0.7296,heritage_de_place
97408000AB0396,a_creuser,chaude,5949,5631,0.7279,0.7279,heritage_de_place
97415000CY0985,a_creuser,chaude,4929,5651,0.7214,0.7214,heritage_de_place
97416000DE0759,a_creuser,chaude,4597,5656,0.7191,0.7191,heritage_de_place
97409000BE1590,a_creuser,chaude,5727,5740,0.6957,0.6957,heritage_de_place
97415000DE1223,a_creuser,chaude,4642,5741,0.6952,0.6952,heritage_de_place
97413000DC1171,a_creuser,chaude,5434,5786,0.6796,0.6796,heritage_de_place
97412000CH0392,a_creuser,chaude,4257,5808,0.6725,0.6725,heritage_de_place
