idu,strate,grandeur,surface,valeur
97407000AI1821,tier_reserve_fonciere,mult,db_verite,0.92
97407000AI1821,tier_reserve_fonciere,modeb_dispo,fiche_v2,False
97407000AI1821,tier_reserve_fonciere,modeb_dispo,fiche_legacy,False
97407000AI1821,tier_reserve_fonciere,modeb_dispo,endpoint_modeb,False
97407000AI1821,tier_reserve_fonciere,sdp_residuelle,fiche_v2,1277
97407000AI1821,tier_reserve_fonciere,sdp_residuelle,carte_tuile,1277
97407000AI1821,tier_reserve_fonciere,sdp_residuelle,db_residuel,1277
97407000AI1821,tier_reserve_fonciere,vigilances,fiche_v2,"abf,prescription_plu"
97407000AI1821,tier_reserve_fonciere,vigilances,carte_tuile,"abf,prescription_plu"
97408000AP1610,tier_chaude,tier,fiche_v2,chaude
97408000AP1610,tier_chaude,tier,fiche_legacy,chaude
97408000AP1610,tier_chaude,tier,carte_tuile,chaude
97408000AP1610,tier_chaude,tier,db_verite,chaude
97408000AP1610,tier_chaude,tier,export_md,chaude
97408000AP1610,tier_chaude,rang,fiche_v2,3
97408000AP1610,tier_chaude,rang,fiche_legacy,3
97408000AP1610,tier_chaude,rang,carte_tuile,3
97408000AP1610,tier_chaude,rang,db_verite,3
97408000AP1610,tier_chaude,mult,fiche_v2,64.36
97408000AP1610,tier_chaude,mult,carte_tuile,64.36
97408000AP1610,tier_chaude,mult,db_verite,64.36
97408000AP1610,tier_chaude,prix_probable,fiche_legacy,174258
97408000AP1610,tier_chaude,charge_supportable,fiche_legacy,129343
97408000AP1610,tier_chaude,marge_estimee,fiche_legacy,-44915
97408000AP1610,tier_chaude,ca_central,module_faisa,704375
97408000AP1610,tier_chaude,ca_central,fiche_legacy,704375
97408000AP1610,tier_chaude,charge_fonciere_central,module_faisa,3757
97408000AP1610,tier_chaude,charge_fonciere_central,fiche_legacy,3757
97408000AP1610,tier_chaude,modeb_dispo,fiche_v2,False
97408000AP1610,tier_chaude,modeb_dispo,fiche_legacy,False
97408000AP1610,tier_chaude,modeb_dispo,endpoint_modeb,False
97408000AP1610,tier_chaude,sdp_residuelle,fiche_v2,284
97408000AP1610,tier_chaude,sdp_residuelle,carte_tuile,284
97408000AP1610,tier_chaude,sdp_residuelle,db_residuel,284
97408000AP1610,tier_chaude,vigilances,fiche_v2,"icpe,residuel_socle,risques"
97408000AP1610,tier_chaude,vigilances,carte_tuile,"icpe,residuel_socle,risques"
97408000AP1647,tier_brulante,tier,fiche_v2,brulante
97408000AP1647,tier_brulante,tier,fiche_legacy,brulante
97408000AP1647,tier_brulante,tier,carte_tuile,brulante
97408000AP1647,tier_brulante,tier,db_verite,brulante
97408000AP1647,tier_brulante,tier,export_md,brulante
97408000AP1647,tier_brulante,rang,fiche_v2,1
97408000AP1647,tier_brulante,rang,fiche_legacy,1
97408000AP1647,tier_brulante,rang,carte_tuile,1
97408000AP1647,tier_brulante,rang,db_verite,1
97408000AP1647,tier_brulante,mult,fiche_v2,64.36
97408000AP1647,tier_brulante,mult,carte_tuile,64.36
97408000AP1647,tier_brulante,mult,db_verite,64.36
97408000AP1647,tier_brulante,prix_probable,fiche_legacy,156275
97408000AP1647,tier_brulante,charge_supportable,fiche_legacy,106572
97408000AP1647,tier_brulante,marge_estimee,fiche_legacy,-49703
97408000AP1647,tier_brulante,ca_central,module_faisa,826875
97408000AP1647,tier_brulante,ca_central,fiche_legacy,826875
97408000AP1647,tier_brulante,charge_fonciere_central,module_faisa,31197
97408000AP1647,tier_brulante,charge_fonciere_central,fiche_legacy,31197
97408000AP1647,tier_brulante,modeb_dispo,fiche_v2,False
97408000AP1647,tier_brulante,modeb_dispo,fiche_legacy,False
97408000AP1647,tier_brulante,modeb_dispo,endpoint_modeb,False
97408000AP1647,tier_brulante,sdp_residuelle,fiche_v2,234
97408000AP1647,tier_brulante,sdp_residuelle,carte_tuile,234
97408000AP1647,tier_brulante,sdp_residuelle,db_residuel,234
97408000AP1647,tier_brulante,vigilances,fiche_v2,"residuel_socle,risques"
97408000AP1647,tier_brulante,vigilances,carte_tuile,"residuel_socle,risques"
97409000AR1260,tier_declasse_bati_sature,tier,fiche_v2,declasse_bati_sature
97409000AR1260,tier_declasse_bati_sature,tier,fiche_legacy,declasse_bati_sature
