idu,vendue,T,v_recalcule,codes
97422000BW3277,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000CN1749,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000AE0758,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000BS1611,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97422000CI0715,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97422000CI1103,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97414000DM0106,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DN0333,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000EX0551,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97414000DN0155,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97414000HH0465,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000EN3302,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97414000DV0301,0,2023-05-31,18,DVF_TENURE_OBS5;GEO_HORS_ILE
97414000DL0044,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000DH0198,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97414000HA0283,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97414000DK0048,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000ET2064,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000HA0170,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DM0412,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000CP0514,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97414000DH0201,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000DH0667,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000CS0326,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000HK0584,0,2023-05-31,18,DVF_TENURE_OBS5;GEO_HORS_ILE
97414000DN0195,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000DH0696,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DI0662,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000HI1414,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000ET2280,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DV0326,0,2023-05-31,18,DVF_TENURE_OBS5;GEO_HORS_ILE
97414000DH1445,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000ET1953,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000ET1955,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000EN3305,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97414000DL0043,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000CW0203,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DH0832,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DH1337,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000HD0417,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DH1049,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DH0828,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000EN1143,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000EN3304,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97414000EL0406,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000HA0211,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000CH0424,0,2023-05-31,18,BODACC_CESSION_FONDS;DVF_TENURE_OBS5
97414000EW0505,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000CH1555,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000EN2791,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97414000EO0470,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000EN2020,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97414000EN1144,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000EK0011,0,2023-05-31,18,DVF_TENURE_OBS5;GEO_HORS_ILE
97414000ER0504,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000HH0512,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DN0456,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000EZ0454,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DH0915,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97414000DN0281,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DT0336,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000CM0109,0,2023-05-31,18,DVF_TENURE_OBS5;GEO_HORS_ILE
97414000HA0229,0,2023-05-31,12,RNE_DIRIGEANT_65
97414000HA0207,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000CY0173,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000CH0968,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97414000HH0518,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DI0525,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000CY0040,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000EN3460,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000EN3851,0,2023-05-31,23,DVF_TENURE_OBS5;GEO_HORS_ILE
97414000DL0204,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000DY0607,0,2023-05-31,15,GEO_HORS_ILE
97414000CX0418,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000EN2675,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DV0579,0,2023-05-31,18,DVF_TENURE_OBS5;GEO_HORS_ILE
97414000HI0333,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000CI0304,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000HA0193,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97414000ET0192,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DL0723,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000DH1246,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DI0810,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000HH0467,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000HD0444,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DH0332,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97414000HA0202,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000ER0250,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DI0405,0,2023-05-31,22,RNE_DIRIGEANT_75
97414000DH1007,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000HH0511,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000DI0371,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000HD0289,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000DK0040,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000EN4028,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000EL1668,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000HH0471,0,2023-05-31,16,DVF_TENURE_OBS5;RNE_SCI_DORMANTE
97414000DM0368,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97414000HK0254,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97414000EM0669,0,2023-05-31,22,GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_70
97414000DL0597,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97413000CM0659,0,2023-05-31,20,DVF_TENURE_OBS5;RNE_DIRIGEANT_65
97413000AV1422,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97413000BM0204,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97413000CU0680,0,2023-05-31,24,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_DIRIGEANT_65
97413000AC0934,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
97413000AV1618,0,2023-05-31,20,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE;RNE_SCI_DORMANTE
97413000DC1680,0,2023-05-31,18,BODACC_CESSION_FONDS;DVF_TENURE_OBS5
97413000CR0781,0,2023-05-31,12,DVF_TENURE_OBS5;GEO_AUTRE_COMMUNE
