idu,partition,date_vente,v_at_T,owner_type,pts_A,pts_B,pts_C,pts_D,pts_E,codes
97423000AB1915,ACHETEUR_PROBABLE,2024-08-26,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97401000AI0599,ACHETEUR_PROBABLE,2024-08-14,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000BC0564,ACHETEUR_PROBABLE,2024-06-24,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000BH0272,ACHETEUR_PROBABLE,2024-02-28,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000DZ0646,ACHETEUR_PROBABLE,2023-08-22,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97416000CS1598,ACHETEUR_PROBABLE,2023-12-13,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97416000EL0458,ACHETEUR_PROBABLE,2024-05-15,25,pp,0,0,0,25,0,FRICHE:18;DVF_TENURE_OBS5:7
97412000BW0982,ACHETEUR_PROBABLE,2024-10-29,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97405000AK0267,ACHETEUR_PROBABLE,2024-03-29,23,pm,0,0,15,8,0,GEO_HORS_ILE:15;DVF_TENURE_OBS5:8
97402000AB1209,ACHETEUR_PROBABLE,2024-04-05,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97412000BY1719,ACHETEUR_PROBABLE,2023-08-16,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97405000AE0936,ACHETEUR_PROBABLE,2024-09-24,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97410000AP0434,VENDEUR_CERTAIN,2025-05-27,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97413000CX2179,VENDEUR_CERTAIN,2025-08-18,4,pm,0,0,4,0,0,GEO_AUTRE_COMMUNE:4
97421000AP0443,ACHETEUR_PROBABLE,2024-07-12,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97411000AK0022,ACHETEUR_PROBABLE,2023-02-22,14,pm,10,0,4,0,0,BODACC_CESSION_FONDS:10;GEO_AUTRE_COMMUNE:4
97407000AI1889,ACHETEUR_PROBABLE,2024-08-19,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97421000AP0540,ACHETEUR_PROBABLE,2024-11-22,20,pm,0,8,4,8,0,RNE_SCI_DORMANTE:8;GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
97416000CS1523,ACHETEUR_PROBABLE,2024-06-13,26,pm,0,18,0,8,0,RNE_DIRIGEANT_70:18;DVF_TENURE_OBS5:8
97415000EH0549,VENDEUR_CERTAIN,2025-11-07,12,pm,0,0,4,8,0,GEO_AUTRE_COMMUNE:4;DVF_TENURE_OBS5:8
