idu,p,raison_1,raison_2,raison_3,contrib_1,contrib_2,contrib_3
97416000EP1007,0.07943,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Frein — Parcelle de 855 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2623,-0.1218,0.1121
97416000HP0860,0.07943,Parcelle de 339 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.2132,0.1036,0.0926
97409000BP0365,0.07943,Parcelle de 449 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Terrain du secteur à 3 €/m² (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,0.071
97411000CD0599,0.07943,Parcelle de 274 m² (cadastre),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)","45 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2132,-0.1238,0.1134
97416000EL0581,0.07943,Parcelle de 292 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,-0.0794
97415000AB0450,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 1453 m² (cadastre),1.0852,0.496,0.1888
97406000AT0372,0.07943,Parcelle de 498 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.1289,0.1036,0.0875
97416000HK0078,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone N au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 69499 m² (cadastre),1.6983,-0.5326,0.461
97416000IB0676,0.07943,Parcelle de 326 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1161,0.1036
97409000BM1405,0.07943,Parcelle de 415 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,-0.0794
