idu,p,raison_1,raison_2,raison_3,contrib_1,contrib_2,contrib_3
97409000AR1995,0.0913,Parcelle de 279 m² (cadastre),"43 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97412000BW0625,0.0913,Parcelle de 306 m² (cadastre),"74 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97413000DE2323,0.0913,Parcelle de 14 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.1894,0.1036,0.0926
97413000CX1894,0.0913,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 561 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,0.1289,0.0875
97413000CS0909,0.0913,Parcelle de 11 m² (cadastre),5% de ménages pauvres dans le carreau (Filosofi INSEE 2019),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1894,0.1094,0.1036
97409000AX1019,0.0913,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",14 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),19 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.2864,0.2623,0.2532
97412000BW1804,0.0913,Parcelle de 84 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.1336,0.1036,0.0875
97411000EP0237,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1298 m² (cadastre),1.2719,0.3786,0.1888
97412000CT0709,0.0913,Parcelle de 88 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.1336,0.1036,0.0926
97410000BK0038,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1474 m² (cadastre),1.2719,0.3786,0.1888
97406000AW1182,0.0913,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.195,0.1036
97412000CE2854,0.0913,Parcelle de 580 m² (cadastre),Candidat photovoltaïque (ortho 2026),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1289,0.1253,0.1036
97402000AH0769,0.0913,Piscine détectée sur la parcelle (ortho 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 120 m² (cadastre),0.3786,0.2623,0.1336
97416000HN1473,0.0913,Piscine détectée sur la parcelle (ortho 2026),Frein — Parcelle de 4086 m² (cadastre),6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.3786,-0.3473,0.2623
97415000AY1622,0.0913,Frein — Le propriétaire a vendu une autre parcelle depuis 24 mois (millésimes fonciers PM 2019-2024),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",16 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),-0.6133,0.2864,0.2623
97411000AE0273,0.0913,11 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 142 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.1336,0.1036
97415000CW0194,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1012 m² (cadastre),1.2146,0.3786,0.1302
97411000KB0170,0.0913,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 56 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.195,0.1336,0.1036
97412000AY0073,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 16945 m² (cadastre),1.8696,-0.5621,0.461
97413000CY1532,0.0913,Parcelle de 450 m² (cadastre),"73 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97411000EK0277,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),"53 m² de SDP résiduelle (résiduel m135, PLU 2026)",1.1277,0.3786,0.1134
97422000BR1815,0.0913,Parcelle de 406 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1161,0.1036
97411000AT0393,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 1131 m² (cadastre),1.3746,0.2532,0.1302
97411000AT0404,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 1501 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.4907,0.1888,0.1161
97413000CL0918,0.0913,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 300 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.2132,0.1036
97404000AR0506,0.0913,Parcelle de 239 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1121,0.1036
97401000AP1288,0.0913,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 69 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.1336,0.1036
97404000AH1021,0.0913,Parcelle de 476 m² (cadastre),3% de ménages pauvres dans le carreau (Filosofi INSEE 2019),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1094,0.1036
97412000BW2123,0.0913,Parcelle de 35 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.1894,0.1036,0.0875
97412000BW1231,0.0913,Parcelle de 245 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,0.0875
97416000EP0960,0.0913,Parcelle de 221 m² (cadastre),"52 m² de SDP résiduelle (résiduel m135, PLU 2026)","Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.1336,0.1134,0.1121
97423000AB0598,0.0913,Frein — Parcelle de 14088 m² (cadastre),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Piscine détectée sur la parcelle (ortho 2026),-0.848,0.496,0.3786
97415000AB0799,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 6242 m² (cadastre),1.1989,0.496,0.2462
97411000HM0289,0.0913,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 237 m² (cadastre),"37 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2623,0.2132,0.1134
97420000BE0246,0.0913,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 518 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.2623,0.1289,0.1161
97405000AK1816,0.0913,Parcelle de 417 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1161,0.1121
97406000AW1249,0.0913,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 27 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.195,0.1894,0.1036
97422000BD1328,0.0913,Parcelle de 456 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1161,0.1036
97411000HE0011,0.0913,Parcelle de 359 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1161,0.1036
97412000CE2757,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 33014 m² (cadastre),1.7203,-0.5621,0.461
97422000CX1239,0.0913,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Parcelle de 844 m² (cadastre),0% de ménages pauvres dans le carreau (Filosofi INSEE 2019),0.496,-0.1218,0.1094
97413000CX2611,0.0913,14 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.2532,0.1036,0.0926
97415000CY0649,0.0913,Parcelle de 451 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1161,0.1036
97412000CE2807,0.0913,Parcelle de 325 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Secteur densément bâti (BD TOPO 2026),0.2132,0.1036,0.0981
97411000AW0866,0.0913,9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 291 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.2132,0.1036
97408000AM1328,0.0913,14 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 492 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.1289,0.1036
97411000AN0312,0.0913,9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 601 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.1289,0.1036
97411000AL0042,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 1921 m² (cadastre),1.2448,0.2532,0.1888
97411000HD0307,0.0913,Parcelle de 279 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,-0.0794
97412000BY1831,0.0913,9 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 261 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.2132,0.1036
97412000BW0737,0.0913,5 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Frein — Parcelle de 891 m² (cadastre),0.2623,0.2532,-0.1218
97402000AL0119,0.0913,Secteur densément bâti (BD TOPO 2026),Parcelle de 453 m² (cadastre),"38 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2553,0.2132,0.1134
97415000DR1049,0.0913,Parcelle de 462 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Secteur densément bâti (BD TOPO 2026),0.2132,0.1036,0.0981
97413000CS1062,0.0913,Parcelle de 412 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,-0.0794
97408000AP1593,0.0913,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 518 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2864,0.1289,0.1036
97412000CE1505,0.0913,Parcelle de 501 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Secteur densément bâti (BD TOPO 2026),0.1289,0.1036,0.0981
97415000EW2011,0.0913,Parcelle de 267 m² (cadastre),"72 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97405000AX0036,0.0913,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 9904 m² (cadastre),1.3675,0.496,0.237
97411000AN0069,0.0913,11 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 135 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.1336,0.1036
97409000BD1511,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 16993 m² (cadastre),1.8108,-0.5621,0.461
97416000DS0730,0.07943,10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 409 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2532,0.2132,0.1036
97414000EN3852,0.07943,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.195,0.1036
97416000HV0075,0.07943,Parcelle de 239 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Aucune vente connue depuis au moins 12 ans (DVF arrêté au 31/12/2025, historique 2014+)",0.2132,0.1036,0.063
97410000BK0489,0.07943,Parcelle de 610 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Secteur densément bâti (BD TOPO 2026),0.1289,0.1036,0.0981
97416000HI0189,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 26008 m² (cadastre),1.8108,-0.5621,0.461
97411000HI0046,0.07943,Piscine détectée sur la parcelle (ortho 2026),Parcelle de 560 m² (cadastre),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.3786,0.1289,-0.1238
97422000BS1763,0.07943,Parcelle de 160 m² (cadastre),6% de ménages pauvres dans le carreau (Filosofi INSEE 2019),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1336,0.1094,0.1036
97401000AD1175,0.07943,Parcelle de 419 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1121,0.1036
97403000AR1486,0.07943,Parcelle de 532 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.1289,0.1036,0.0926
97413000DG0280,0.07943,Parcelle de 495 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.1289,0.1161,0.1121
97415000EV0167,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),"64 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.9656,0.3786,0.1134
97415000BP0969,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 3162 m² (cadastre),Candidat photovoltaïque (ortho 2026),1.3307,0.1888,0.1253
97409000BE1204,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 1577 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),1.3307,0.1888,0.1036
97415000CZ1405,0.07943,Parcelle de 199 m² (cadastre),"59 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1336,0.1134,0.1036
97409000AS2073,0.07943,Parcelle de 354 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,-0.0794
97411000HD0299,0.07943,Parcelle de 325 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,-0.0794
97410000AV0652,0.07943,Frein — Le propriétaire a vendu une autre parcelle depuis 24 mois (millésimes fonciers PM 2019-2024),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",13 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),-0.6133,0.2864,0.2623
97414000EL0117,0.07943,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 336 m² (cadastre),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2623,0.2132,-0.1238
97411000HE0570,0.07943,Parcelle de 482 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Secteur densément bâti (BD TOPO 2026),0.2132,0.1036,-0.0955
97415000BV1395,0.07943,Parcelle de 397 m² (cadastre),"70 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97415000AX1080,0.07943,Parcelle de 209 m² (cadastre),Candidat photovoltaïque (ortho 2026),"52 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.1336,0.1253,0.1134
97401000AI1188,0.07943,Parcelle de 308 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.2132,0.1036,0.0926
97401000AN0888,0.07943,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 365 m² (cadastre),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,0.2132,-0.0794
97410000AV0659,0.07943,Frein — Le propriétaire a vendu une autre parcelle depuis 24 mois (millésimes fonciers PM 2019-2024),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",7 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),-0.6133,0.2864,0.2623
97416000EM0764,0.07943,Parcelle de 381 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Secteur densément bâti (BD TOPO 2026),0.2132,0.1036,-0.0955
97411000KE0233,0.07943,Parcelle de 140 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Secteur densément bâti (BD TOPO 2026),0.1336,0.1036,-0.0955
97413000CD0729,0.07943,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Frein — 0 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,-0.2221
97422000CR0171,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 40069 m² (cadastre),1.8696,-0.5621,0.461
97420000AB1019,0.07943,Parcelle de 262 m² (cadastre),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)","68 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2132,-0.1238,0.1134
97411000AB0018,0.07943,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Parcelle de 118 m² (cadastre),0.2623,-0.2583,0.1336
97413000DA0491,0.07943,Parcelle de 248 m² (cadastre),"53 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97411000EK0005,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.0053,0.3786,0.1161
97415000CT2244,0.07943,Parcelle de 14 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1894,0.1121,0.1036
97412000AO0922,0.07943,"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Frein — Parcelle de 884 m² (cadastre),"59 m² de SDP résiduelle (résiduel m135, PLU 2026)",0.2864,-0.1218,0.1134
97422000BV3183,0.07943,Parcelle de 308 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1161,0.1036
97403000AM0816,0.07943,Parcelle de 591 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1289,0.1161,0.1036
97414000EV0839,0.07943,Parcelle de 315 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Secteur densément bâti (BD TOPO 2026),0.2132,0.1036,-0.0955
97404000AI2208,0.07943,Parcelle de 403 m² (cadastre),"67 m² de SDP résiduelle (résiduel m135, PLU 2026)",7% de ménages pauvres dans le carreau (Filosofi INSEE 2019),0.2132,0.1134,0.1094
97416000EH1358,0.07943,Parcelle de 335 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),"Frein — Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.2132,0.1036,-0.0794
97422000DH0211,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 19084 m² (cadastre),1.8108,-0.5621,0.461
97413000CD0726,0.07943,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Frein — 0 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.496,0.2623,-0.2221
97409000AS1328,0.07943,Parcelle de 339 m² (cadastre),"29 m² de SDP résiduelle (résiduel m135, PLU 2026)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1134,0.1036
97416000HX1007,0.07943,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.1161,0.1036
97412000CE0428,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 12584 m² (cadastre),1.7203,-0.5621,0.461
97405000AK1779,0.07943,Parcelle de 430 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1121,0.1036
97415000ER1172,0.07943,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Frein — 0 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Parcelle de 335 m² (cadastre),0.2623,-0.2221,0.2132
97411000IC0107,0.07943,Parcelle de 585 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Secteur densément bâti (BD TOPO 2026),0.1289,0.1036,-0.0955
97411000DW0005,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Parcelle de 1618 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.0852,0.1888,0.1161
97411000CV0715,0.07943,Parcelle de 587 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),11% de ménages pauvres dans le carreau (Filosofi INSEE 2019),0.1289,0.1036,0.0704
97416000IE0209,0.07943,Parcelle de 541 m² (cadastre),8 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.1289,0.1161,0.1036
97411000HX0126,0.07943,Parcelle de 449 m² (cadastre),7% de ménages pauvres dans le carreau (Filosofi INSEE 2019),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1094,0.1036
97408000AP1367,0.07943,Zone AU au PLU (PLU/GPU en vigueur à l'ingestion 2026),Frein — Parcelle de 7315 m² (cadastre),"Secteur à rotation faible du foncier nu (DVF arrêté au 31/12/2025, 36 mois)",0.496,-0.4529,0.2864
97422000BP1444,0.07943,Parcelle de 430 m² (cadastre),7 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2132,0.1161,0.1036
97416000CW1434,0.07943,Parcelle de 288 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),5 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.2132,0.1036,0.068
97414000CV1006,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone N au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 15197 m² (cadastre),1.6983,-0.5326,0.461
97422000BN2081,0.07943,Parcelle de 335 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),3 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),0.2132,0.1036,0.0926
97422000BX0456,0.07943,Parcelle de 338 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),5 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),0.2132,0.1036,0.068
97413000CU0526,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Piscine détectée sur la parcelle (ortho 2026),Parcelle de 1038 m² (cadastre),1.2146,0.3786,0.1302
97410000BX1960,0.07943,4 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),Parcelle de 287 m² (cadastre),Zone U au PLU (PLU/GPU en vigueur à l'ingestion 2026),0.2623,0.2132,0.1036
97419000AP0257,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),Frein — Zone A au PLU (PLU/GPU en vigueur à l'ingestion 2026),Parcelle de 18541 m² (cadastre),1.8696,-0.5621,0.461
97415000AS1938,0.07943,Détenue depuis moins d'un an — dernière mutation connue (DVF arrêté au 31/12/2025),6 permis à moins de 100 m en 24 mois (Sitadel 2013→2025),10 vente(s) à moins de 150 m en 24 mois (DVF arrêté au 31/12/2025),1.1558,0.2623,0.2532
