idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97406000AI1032,2025-10-16,False,,,,False
97403000AR0795,2025-08-21,False,,,,False
97416000EW0111,2025-03-14,False,,,,False
97413000CQ0738,2025-06-17,True,,,,False
97423000AE0754,2025-05-22,True,,,,False
97412000AZ0110,2025-05-27,True,,,,False
97407000BI0383,2025-04-16,True,,,,False
97410000BK0246,2025-06-19,True,,,,False
97411000DS0865,2025-04-28,False,,,,False
97411000HP0396,2025-04-18,True,,,,False
97411000AC0104,2025-11-03,False,,,,False
97418000AP1935,2025-09-26,True,,,,False
97415000CY1052,2025-08-14,True,,,,False
97414000DN0592,2025-10-23,False,,,,False
97420000BD0995,2025-09-24,False,,,,False
97419000AR0735,2025-06-09,True,,,,False
97414000CW0609,2025-04-17,True,,,,False
97422000BP1975,2025-04-08,True,,,,False
97411000HS0366,2025-08-05,True,,,,False
97419000AE0188,2025-12-15,True,,,,False
97422000BS0939,2025-10-30,True,,,,False
97413000AC0968,2025-07-18,True,,,,False
97414000HC0374,2025-09-26,False,,,,False
97411000DK0048,2025-04-09,False,,,,False
97415000ET1412,2025-08-27,False,,,,False
97410000AL0144,2025-12-16,True,,,,False
97410000AW0358,2025-08-22,True,,,,False
97416000HL0014,2025-06-03,True,,,,False
97412000CX0341,2025-09-16,False,,,,False
97413000CC0383,2025-11-03,False,,,,False
97415000AS1105,2025-05-19,False,,,,False
97410000BE0197,2025-03-13,False,,,,False
97407000AL1582,2025-07-15,False,,,,False
97419000AS0229,2025-05-28,False,,,,False
97415000AY1630,2025-12-29,False,,,,False
97422000EH0126,2025-09-08,True,,,,False
97418000AD0679,2025-10-16,True,,,,False
97418000AV1179,2025-07-30,False,,,,False
97415000AZ1883,2025-06-30,False,,,,False
97409000AX1097,2025-12-30,False,,,,False
97414000DN0088,2025-06-10,False,,,,False
97412000BW0173,2025-12-30,False,,,,False
97404000AY0418,2025-08-12,False,,,,False
97407000AY0483,2025-06-05,False,,,,False
97409000AP0821,2025-08-18,False,,,,False
97405000AW1215,2025-08-28,True,,,,False
97403000AP1555,2025-08-28,False,,,,False
97424000AM0646,2025-10-15,True,,,,False
97416000CW2951,2025-07-02,False,,,,False
97415000BV0220,2025-02-20,False,,,,False
97422000BH0786,2025-10-15,True,,,,False
97412000BR0301,2025-02-05,True,,,,False
97412000BX1930,2025-10-09,True,,,,False
97413000DK0348,2025-02-18,False,,,,False
97406000AT0489,2025-01-21,False,,,,False
97418000AR2048,2025-09-12,False,,,,False
97407000AH1228,2025-10-31,False,,,,False
97416000EV0636,2025-08-29,True,,,,False
97415000DE1025,2025-12-26,False,,,,False
