idu,date_vente,vente_groupee,premier_envoi,n_simule,premiere_piste,exclue_client
97421000BN0015,2025-05-12,True,,,,False
97409000BE0189,2024-10-31,True,,,,False
97415000CM2284,2025-05-27,False,,,,False
97407000BE0306,2025-04-28,False,,,,False
97412000BK0293,2024-10-30,False,,,,False
97407000BE0059,2025-12-29,False,,,,False
97422000BL0996,2024-08-07,True,,,,False
97420000AO0239,2025-02-12,False,,,,False
97412000CY1090,2025-06-16,True,,,,False
97408000AM0638,2024-09-03,True,,,,False
97411000HS0471,2025-12-15,True,,,,False
97417000AT0497,2024-09-04,True,,,,False
97414000DM0674,2024-06-14,False,,,,False
97411000HP0326,2024-12-23,True,,,,False
97412000BZ0310,2025-10-01,False,,,,False
97412000AM1283,2025-05-28,True,,,,False
97413000DE1132,2024-12-23,True,,,,False
97408000AT2034,2024-11-21,True,,,,False
97414000DH1441,2025-09-29,True,,,,False
97422000BK1643,2025-01-22,True,,,,False
97415000EO0461,2024-02-09,False,,,,False
97409000AV1049,2025-12-19,False,,,,False
97416000EK0135,2025-08-28,False,,,,False
97414000HA0254,2025-01-17,True,,,,False
97410000BY0157,2025-05-23,False,,,,False
97404000AY0022,2024-09-26,True,,,,False
97418000AC1608,2025-10-16,True,,,,False
97411000CD1188,2025-09-29,False,,,,False
97414000CH1971,2025-12-31,True,,,,False
97414000DK0025,2025-06-30,True,,,,False
97411000AK0127,2025-09-05,False,,,,False
97411000EP0336,2025-08-29,True,,,,False
97415000CO0298,2025-07-01,True,,,,False
97409000AR2713,2024-09-06,False,,,,False
97415000ER1749,2024-12-13,True,,,,False
97413000CX2841,2024-10-08,False,,,,False
97408000AO0240,2025-08-18,False,,,,False
97414000CS0551,2025-08-25,True,,,,False
97412000AX0754,2024-02-05,False,,,,False
97421000AP0557,2025-07-02,True,,,,False
97415000AT0551,2025-03-04,True,,,,False
97411000IL0191,2025-02-26,False,,,,False
97417000AT1488,2024-06-17,False,,,,False
97411000CD1265,2024-07-29,True,,,,False
97418000AR2163,2024-12-30,False,,,,False
97416000CT1280,2025-09-25,False,,,,False
97409000AL2385,2024-03-22,True,,,,False
97413000AH0319,2025-11-24,True,,,,False
97418000BD0465,2024-07-03,False,,,,False
97422000CX1330,2025-09-30,False,,,,False
97415000EX0238,2024-12-10,False,,,,False
97415000CP1066,2024-04-16,False,,,,False
97409000AP1830,2024-03-20,True,,,,False
97415000HO1127,2025-08-21,False,,,,False
97414000EN4072,2025-07-15,False,,,,False
97416000EH1096,2024-08-19,True,,,,False
97410000AM0061,2024-06-14,False,,,,False
97407000AO1252,2024-10-31,True,,,,False
97414000EN3935,2024-12-30,True,,,,False
97418000AO1691,2024-10-02,True,,,,False
97415000DK0779,2024-07-09,True,,,,False
97422000BI1058,2025-07-07,True,,,,False
97401000AD1073,2024-07-29,False,,,,False
97422000BK1674,2025-09-30,False,,,,False
97416000EP0448,2024-06-20,True,,,,False
97412000CV0551,2024-06-28,False,,,,False
97412000BW2392,2025-09-05,False,,,,False
97405000BI1278,2025-07-03,False,,,,False
97415000EL0523,2025-06-04,True,,,,False
97416000HX1006,2025-09-26,True,,,,False
97422000CH0778,2025-12-16,False,,,,False
97416000HP0818,2024-01-25,True,,,,False
97411000DT0302,2024-05-15,True,,,,False
97410000BD0185,2025-09-30,False,,,,False
97415000AB0722,2024-12-11,True,,,,False
97409000AL1131,2025-06-19,False,,,,False
97413000CY1061,2024-07-16,False,,,,False
97415000HI0326,2025-03-06,False,,,,False
97401000AM1242,2025-08-13,True,,,,False
97410000AC0161,2024-10-10,True,,,,False
97413000DG1080,2025-06-26,False,,,,False
97414000CD0129,2024-05-22,True,,,2026-08-26 16:02:43.779524+00:00,False
97401000AO0030,2025-03-12,True,,,,False
97415000CM1469,2024-02-09,True,,,,False
97411000CD1216,2024-09-19,True,,,,False
97422000EI0102,2025-03-10,True,,,,False
97414000EN2604,2024-03-12,True,,,,False
97413000CS0734,2025-10-07,False,,,,False
97401000AR1724,2025-06-10,True,,,,False
97412000CE2757,2025-06-19,False,,,,False
97413000DD1349,2024-10-30,False,,,,False
97415000DK1163,2024-12-17,True,,,,False
97412000BX0843,2024-04-19,False,,,,False
97412000CR0074,2025-10-10,False,,,,False
97405000AR1646,2025-06-05,True,,,,False
97409000BE1583,2024-06-20,True,,,,False
97414000HA0085,2024-09-16,False,,,,False
97411000IT0590,2025-11-20,True,,,,False
97415000HL0040,2024-03-29,True,,,,False
97412000AZ0110,2025-05-27,True,,,,False
97407000BI0383,2025-04-16,True,,,,False
97410000BK0246,2025-06-19,True,,,,False
97411000DS0865,2025-04-28,False,,,,False
97415000ET1726,2024-10-15,False,,,,False
97411000HP0396,2025-04-18,True,,,,False
97409000AV0116,2024-07-25,False,,,,False
97411000AC0104,2025-11-03,False,,,,False
97408000AS0588,2024-01-18,False,,,,False
97420000BD0995,2025-09-24,False,,,,False
97414000CW0609,2025-04-17,True,,,,False
97422000BP1975,2025-04-08,True,,,,False
97419000AE0188,2025-12-15,True,,,,False
97411000DK0048,2025-04-09,False,,,,False
97415000ET1412,2025-08-27,False,,,,False
97410000AW0358,2025-08-22,True,,,,False
97410000AL0144,2025-12-16,True,,,,False
97409000BE1597,2024-06-20,True,,,,False
97416000HL0014,2025-06-03,True,,,,False
97412000CX0341,2025-09-16,False,,,,False
97418000BH0148,2024-04-30,False,,,,False
97413000CC0383,2025-11-03,False,,,,False
97415000AS1105,2025-05-19,False,,,,False
97414000DV0399,2024-03-29,False,,,,False
97413000DD0143,2024-08-09,True,,,,False
97402000AH1192,2024-01-23,False,,,,False
97407000AL1582,2024-03-07,False,,,,False
97422000EH0126,2025-09-08,True,,,,False
97416000CY0887,2024-10-01,False,,,,False
97418000AD0679,2025-10-16,True,,,,False
97418000AV1179,2025-07-30,False,,,,False
97415000AZ1883,2025-06-30,False,,,,False
97409000AX1097,2025-12-30,False,,,,False
97411000DT0252,2024-08-06,False,,,,False
97417000AO0546,2024-08-08,False,,,,False
97409000AP0821,2025-08-18,False,,,,False
97405000AW1215,2025-08-28,True,,,,False
97403000AP1555,2025-08-28,False,,,,False
97407000AT0106,2024-10-10,False,,,,False
97413000CW0234,2024-05-02,True,,,,False
97424000AM0646,2025-10-15,True,,,,False
97410000CD0950,2024-12-05,True,,,,False
97411000CM0374,2024-07-08,True,,,,False
97409000BE0446,2024-11-27,False,,,,False
97416000CW2951,2025-07-02,False,,,,False
97422000BH0786,2025-10-15,True,,,,False
97415000AX0487,2024-02-06,True,,,,False
97412000BR0301,2025-02-05,True,,,,False
97412000BX1930,2025-10-09,True,,,,False
97413000DK0348,2025-02-18,False,,,,False
97416000EV0636,2025-08-29,True,,,,False
97407000AH1228,2025-10-31,False,,,,False
97416000HY0830,2025-03-17,True,,,,False
97424000AM0644,2025-10-15,True,,,,False
97403000AT0329,2024-03-15,False,,,,False
97401000AL0719,2025-12-10,False,,,,False
97406000AM0713,2024-01-25,False,,,,False
97422000BW0219,2024-11-26,False,,,,False
97414000CO0615,2025-07-04,False,,,,False
97422000CZ0120,2024-04-25,True,,,,False
97416000ES2085,2024-12-24,False,,,,False
97414000EN3769,2024-04-23,False,,,,False
97415000HO0705,2025-02-11,False,,,,False
97404000AZ0015,2025-10-27,False,,,,False
97416000HL0036,2024-10-07,False,,,,False
97414000CM0213,2024-12-30,True,,,,False
97407000AE0468,2025-06-30,True,,,,False
97424000AC0323,2024-05-29,False,,,,False
97416000HP0799,2024-01-25,True,,,,False
97424000AI0812,2024-12-17,False,,,,False
97411000CH0710,2025-10-24,False,,,,False
97408000AP1664,2025-09-11,True,,,,False
97414000EV0079,2025-12-15,False,,,,False
97410000AB0763,2024-02-26,False,,,,False
97416000CX1429,2025-03-18,False,,,,False
97416000CS0649,2025-03-26,True,,,,False
97415000EY2107,2025-09-09,False,,,,False
97422000AY1482,2024-07-04,True,,,,False
97411000AN0689,2024-04-09,False,,,,False
97424000AI2184,2024-12-13,True,,,,False
97414000EM0391,2024-12-05,False,,,,False
97419000AC0212,2025-05-27,False,,,,False
97422000BV2040,2025-10-02,True,,,,False
97421000AD0037,2025-11-27,False,,,,False
97420000BH1121,2024-07-12,True,,,,False
97412000AL0223,2025-06-27,True,,,,False
97412000CT0744,2024-06-25,True,,,,False
97422000ED0272,2025-08-22,True,,,,False
