,rot_nu,rot_bati,med_pm2_terrain_36m,med_pm2_bati_36m,tendance_pm2_bati,permis_24m_norm,dens_bati_secteur,pct_bati_secteur,filo_snv_pp,filo_pct_pauv,filo_pct_prop,filo_dens_pop,pente_moy_deg,acces_equipements,window_coverage,surface_m2,dormance_droits,sdp_residuelle_m2,canopee_pct,ndvi_moyen
filo_pct_prop,0.09936292831167444,-0.22213645546423838,-0.19123739842348422,0.007023803420397383,-0.04375067447603171,0.0600465850974012,-0.3337628156664019,-0.2043450730566683,0.14424791753381722,-0.13243752384666008,1.0,-0.3898014563600206,0.22172724376274214,-0.3620805853673913,,0.11476018245590958,-0.04672187880137049,0.012602487580457945,0.054731836897477903,0.06604171282749104
filo_dens_pop,-0.14069399690901552,0.3444502948768207,0.33053622569177965,0.11533282716113917,0.06135596527048711,0.020972724859802477,0.552590779785795,0.4917788455449654,-0.0393955018459543,-0.029406307201428287,-0.3898014563600206,1.0,-0.33074672228719154,0.5075358890254776,,-0.3578213114062687,0.1772035477119205,-0.15636731081492325,-0.14798652106503823,-0.26314042578019703
pente_moy_deg,0.0795024516402184,-0.19092195444594207,-0.23211024837438493,0.04558274243182553,-0.04375213778921793,-0.11934354811957691,-0.37565677619942744,-0.40030603118631036,0.0286281514678987,0.0012733459804942049,0.22172724376274214,-0.33074672228719154,1.0,-0.38794915557510107,,0.2911821642922524,-0.10141110246186318,0.07972997208127076,0.2645985931874287,0.3048601965188874
acces_equipements,-0.13342461712424677,0.4893910432045045,0.3901947825672607,0.12683036238180773,0.0804381206808163,0.0684315921368447,0.6690094760316883,0.5452187626465036,0.09326704880599843,-0.09878677300194144,-0.3620805853673913,0.5075358890254776,-0.38794915557510107,1.0,,-0.31746802077086156,0.1200022014490393,-0.08305027383031093,-0.09727040863832774,-0.19206008808283379
window_coverage,,,,,,,,,,,,,,,,,,,,
surface_m2,0.03578159153901379,-0.22454463341603803,-0.21672418178114394,-0.07923554961159819,-0.04324290890104258,-0.06978916441890161,-0.35852796586588653,-0.30629093156887854,0.00295314582948569,0.0187380814292669,0.11476018245590958,-0.3578213114062687,0.2911821642922524,-0.31746802077086156,,1.0,-0.33884729457504265,0.5161519287325422,0.3567444092117791,0.37645778854684236
dormance_droits,-0.053081496935811996,0.08773972003286566,0.039008170750890435,0.004587406359804797,0.017258500669600215,-0.0501790456252566,0.179551744062867,0.10761159969891755,0.007020596743337175,-0.01460432699084427,-0.04672187880137049,0.1772035477119205,-0.10141110246186318,0.1200022014490393,,-0.33884729457504265,1.0,-0.864730445663125,-0.2826620055950427,-0.41737413560056
sdp_residuelle_m2,0.02304000205163609,-0.06337079629681984,-0.020833329740821662,-0.005687672280739024,-0.01811309458217203,0.03659569984459177,-0.13755226219073458,-0.06521432903686596,-0.0023074785244529793,0.009611303441366967,0.012602487580457945,-0.15636731081492325,0.07972997208127076,-0.08305027383031093,,0.5161519287325422,-0.864730445663125,1.0,0.288140872938009,0.3756500397098924
canopee_pct,-0.05345742581339813,-0.0628412356828349,-0.05909293610135891,0.0349750822923416,-0.008706482868986998,-0.06773892308958025,-0.1051198799116092,-0.10971846236845298,0.07800605012378202,-0.05080661937980143,0.054731836897477903,-0.14798652106503823,0.2645985931874287,-0.09727040863832774,,0.3567444092117791,-0.2826620055950427,0.288140872938009,1.0,0.8042902915471953
ndvi_moyen,-0.022931556917958503,-0.13380177313599464,-0.13807040740643955,-0.022776761289509527,-0.015995976672300887,-0.08422787042970677,-0.20285310907297738,-0.24359601504816308,0.02568228532699969,0.0038326320264020046,0.06604171282749104,-0.26314042578019703,0.3048601965188874,-0.19206008808283379,,0.37645778854684236,-0.41737413560056,0.3756500397098924,0.8042902915471953,1.0
