idu,commune,grandeur,chemins_compares,valeurs,egalite,verdict,note
97415000HP0192,Saint-Paul,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 1701, ""mvt"": 1701, ""residuel(canon)"": 1701}",OK,canon=parcel_residuel cause NULL,
97407000AL1656,Le Port,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Écartée"", ""v2/score(court)"": ""Écartée"", ""mvt(court)"": ""Écartée""}",OK,exp_court=Écartée raw=ecartee,etage0=False
97407000AL1656,Le Port,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 10.0, ""geom_ST_Area_2975"": 9.99, ""parcels.surface_m2"": 9.99, ""mvt"": 9.99}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97407000AL1656,Le Port,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""mvt"": 0}",OK,canon=parcel_residuel cause NULL,
97420000AE0136,Sainte-Suzanne,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97420000AE0136,Sainte-Suzanne,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 145.0, ""geom_ST_Area_2975"": 144.71, ""parcels.surface_m2"": 144.71, ""mvt"": 144.71}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97420000AE0136,Sainte-Suzanne,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97414000DM0764,Saint-Louis,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Neutre"", ""v2/score(court)"": ""Neutre"", ""mvt(court)"": ""Neutre""}",OK,exp_court=Neutre raw=a_creuser,etage0=False
97414000DM0764,Saint-Louis,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 295.0, ""geom_ST_Area_2975"": 295.28, ""parcels.surface_m2"": 295.28, ""mvt"": 295.28}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97414000DM0764,Saint-Louis,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 25, ""mvt"": 25, ""residuel(canon)"": 25}",OK,canon=parcel_residuel cause NULL,
97409000AI0498,Saint-André,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97409000AI0498,Saint-André,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 73.0, ""geom_ST_Area_2975"": 72.56, ""parcels.surface_m2"": 72.56, ""mvt"": 72.56}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97409000AI0498,Saint-André,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
97410000AI0701,Saint-Benoît,tier,fiche.label|v2/score|mvt->court,"{""fiche.label"": ""Faible"", ""v2/score(court)"": ""Faible"", ""mvt(court)"": ""Faible""}",OK,exp_court=Faible raw=declasse_bati_sature,etage0=False
97410000AI0701,Saint-Benoît,surface,fiche|geom_ST_Area(2975)|parcels.surface_m2|mvt,"{""fiche"": 543.0, ""geom_ST_Area_2975"": 542.78, ""parcels.surface_m2"": 542.78, ""mvt"": 542.78}",OK,arrondi entier,"geom en SRID 2975 (4326=degres, artefact ecarte)"
97410000AI0701,Saint-Benoît,sdp_residuelle,fiche|mvt|renouv|parcel_residuel,"{""fiche.pot_transfo"": 0, ""mvt"": 0, ""residuel(canon)"": 0}",OK,canon=parcel_residuel cause NULL,
