idu,commune,strate,v_surface,v_zone,v_tier,v_sdp,v_verdict,v_millesime,passe
97416000CZ1887,Saint-Pierre,tier_reserve_fonciere,ERR,ERR,ERR,ERR,ERR,ERR,KO
97416000DE1336,Saint-Pierre,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97416000EP0908,Saint-Pierre,tier_brulante,ERR,ERR,ERR,ERR,ERR,ERR,KO
97416000EV0692,Saint-Pierre,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97416000HM0104,Saint-Pierre,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97416000HM0324,Saint-Pierre,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97416000HT0134,Saint-Pierre,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97416000IM0622,Saint-Pierre,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97418000AO2094,Sainte-Marie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97418000AP3272,Sainte-Marie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97418000AR0956,Sainte-Marie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97418000AR1450,Sainte-Marie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97418000BP0224,Sainte-Marie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97418000BT0502,Sainte-Marie,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97419000AK0830,Sainte-Rose,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97419000AK0938,Sainte-Rose,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97419000AL0630,Sainte-Rose,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97419000AP0199,Sainte-Rose,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97419000AP0401,Sainte-Rose,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97419000AW0200,Sainte-Rose,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97419000AY0140,Sainte-Rose,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97420000AC0556,Sainte-Suzanne,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97420000AC0928,Sainte-Suzanne,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
97420000AK0138,Sainte-Suzanne,commune,ERR,ERR,ERR,ERR,ERR,ERR,KO
