idu,mouvement,v_v12,v_v13,motif
97415000AY1637,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000CR0403,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000CT0316,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000CW0132,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000DE0805,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000DE1136,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000DE1139,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000DE1234,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000DK0881,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000DM0487,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000ER0819,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000ET0162,entrée,17,17,"V v1.3 17 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000ET0883,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000ET1507,entrée,29,17,"V v1.3 17 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000EV0159,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000EV0732,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000EV0740,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000EV0772,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000EV0774,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000EV0837,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000EY0111,entrée,23,23,"V v1.3 23 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000HI0508,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97415000HR0264,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97416000EK0516,entrée,23,23,"V v1.3 23 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97416000ET1976,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97416000ET1978,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97416000ET2045,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97416000ET2105,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97416000ET2185,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97416000ET2188,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AC0593,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AC1323,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AC1612,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AC1615,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS0007,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS0509,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS1121,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS1125,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS1147,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS1269,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS1276,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS1281,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS1295,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS1309,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AS1334,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AT0956,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AT0957,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000AT1754,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000BD0393,entrée,23,23,"V v1.3 23 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97418000BD0396,entrée,23,23,"V v1.3 23 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97419000AR0814,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
97420000AB1313,entrée,18,18,"V v1.3 18 ≥ seuil 17 (seuil recalibré, échelle v1.3)"
