idu,commune,siren,dirigeant_age,sci_dormante,horizon
97402000AK0291,Bras-Panon,419946405,71,False,3-7 ans
97402000AK0449,Bras-Panon,349981951,79,False,3-7 ans
97402000AK0726,Bras-Panon,349981951,79,False,3-7 ans
97402000AK0728,Bras-Panon,349981951,79,False,3-7 ans
97402000AK0889,Bras-Panon,804968410,75,False,3-7 ans
97402000AK1027,Bras-Panon,349981951,79,False,3-7 ans
97402000AK1070,Bras-Panon,349981951,79,False,3-7 ans
97402000AK1071,Bras-Panon,831797113,88,False,3-7 ans
97402000AK1072,Bras-Panon,831797113,88,False,3-7 ans
97402000AK1073,Bras-Panon,831797113,88,False,3-7 ans
97402000AK1075,Bras-Panon,349981951,79,False,3-7 ans
97402000AK1108,Bras-Panon,831805098,88,False,3-7 ans
97402000AK1109,Bras-Panon,831805098,88,False,3-7 ans
97402000AK1144,Bras-Panon,349981951,79,False,3-7 ans
97402000AK1147,Bras-Panon,349981951,79,False,3-7 ans
97402000AK1148,Bras-Panon,349981951,79,False,3-7 ans
97402000AK1238,Bras-Panon,831797113,88,False,3-7 ans
97402000AK1363,Bras-Panon,513357509,76,False,3-7 ans
97402000AK1420,Bras-Panon,824161541,73,False,3-7 ans
97402000AK1431,Bras-Panon,348959024,97,False,3-7 ans
97402000AK1432,Bras-Panon,348959024,97,False,3-7 ans
97402000AK1507,Bras-Panon,348959024,97,False,3-7 ans
97402000AK1687,Bras-Panon,521383125,70,False,3-7 ans
97402000AK2133,Bras-Panon,492829817,72,False,3-7 ans
97403000AK0033,Entre-Deux,388473530,80,False,3-7 ans
97403000AO0717,Entre-Deux,395261555,80,False,3-7 ans
97403000AP0537,Entre-Deux,493748776,70,False,3-7 ans
97403000AP1056,Entre-Deux,401534565,81,False,3-7 ans
97403000AP1057,Entre-Deux,401534565,81,False,3-7 ans
97403000AR0880,Entre-Deux,483919494,75,False,3-7 ans
97403000AS0085,Entre-Deux,342126547,70,False,3-7 ans
97403000AS0570,Entre-Deux,413837733,81,False,3-7 ans
97403000AS0577,Entre-Deux,389410762,73,False,3-7 ans
97403000AS1294,Entre-Deux,382690519,79,False,3-7 ans
97403000AS1429,Entre-Deux,423795103,73,False,3-7 ans
97403000AS1467,Entre-Deux,880658471,83,False,3-7 ans
97403000AS1518,Entre-Deux,402880132,83,False,3-7 ans
97403000AS1932,Entre-Deux,389488826,77,False,3-7 ans
97403000AS1933,Entre-Deux,389488826,77,False,3-7 ans
97403000AS1956,Entre-Deux,903318236,74,False,3-7 ans
97403000AS1959,Entre-Deux,903318236,74,False,3-7 ans
97404000AD0125,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD0126,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD0130,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD0131,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD0132,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD0578,L'Étang-Salé,831554282,70,False,3-7 ans
97404000AD0580,L'Étang-Salé,831554282,70,False,3-7 ans
97404000AD1055,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD1056,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD1057,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD1058,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD1060,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AD1061,L'Étang-Salé,478365174,79,False,3-7 ans
97404000AE0775,L'Étang-Salé,420905374,77,False,3-7 ans
97404000AE0776,L'Étang-Salé,420905374,77,False,3-7 ans
97404000AE0866,L'Étang-Salé,505402685,72,False,3-7 ans
97404000AE0868,L'Étang-Salé,505402685,72,False,3-7 ans
97404000AI1988,L'Étang-Salé,889127346,79,False,3-7 ans
97404000AI1990,L'Étang-Salé,889127346,79,False,3-7 ans
97404000AI2094,L'Étang-Salé,423830074,71,False,3-7 ans
97404000AI2379,L'Étang-Salé,912409687,72,False,3-7 ans
97404000AM0667,L'Étang-Salé,343360228,87,False,3-7 ans
97404000AM0677,L'Étang-Salé,484070628,84,False,3-7 ans
